category,name,sku,unit_label,case_label,price_single,price_case,cost_price_single,cost_price_case,shelf_life_months,can_split_sale,minimum_order_qty,is_active,stock_quantity,units_per_case,image
Jelly 椰果,鳳梨椰果,B040203,8.47 LBS /BOTTLE,4 BOTTLES/CASE,25.0,75.0,0,0,24,1,1,1,0,4.0,products/B040203.png
Jelly 椰果,B040303,B040303,8.47 LBS /BOTTLE,2 BAGS/CASE,20.0,65.0,0,0,24,1,1,1,0,2.0,products/B040303.png
Jelly 椰果,Mango Star Jelly 芒果星鑽椰果,B040403,8.47 LBS /BOTTLE,2 BAGS/CASE,25.0,75.0,0,0,24,1,1,1,0,2.0,products/B040403.png
Jelly 椰果,B040503,B040503,8.47 LBS /BOTTLE,4 BOTTLES/CASE,25.0,75.0,0,0,24,1,1,1,0,4.0,products/B040503.png
Jelly 椰果,Coﬀee Jelly 咖啡椰果,B040603,8.47 LBS /BOTTLE,4 BOTTLES/CASE,20.0,70.0,0,0,24,1,1,1,0,4.0,products/B040603.png
Jelly 椰果,B040703,B040703,8.47 LBS /BOTTLE,4 BOTTLES/CASE,20.0,65.0,0,0,24,1,1,1,0,4.0,products/B040703.png
Popping Boba,C010103,C010103,7.48 LBS /CAN,4 CANS/CASE,17.0,60.0,0,0,24,1,1,1,0,4.0,products/C010103.png
Popping Boba,C010203,C010203,7.48 LBS /CAN,6 CANS/CASE,25.0,125.0,0,0,24,1,1,1,0,6.0,products/C010203.png
Popping Boba,C010303,C010303,7.48 LBS /CAN,4 CANS/CASE,17.0,80.0,0,0,24,1,1,1,0,4.0,products/C010303.png
Special Powder 特殊粉,Grass Jelly Powder 仙草粉,C010503,2.2 LBS /BAG,10 BAGS/CASE,15.0,110.0,0,0,24,1,1,1,0,10.0,products/C010503.png
Pulp Topping 果肉,C010603,C010603,850G/CAN,12 CANS/CASE,10.0,100.0,0,0,24,1,1,1,0,12.0,products/C010603.png
Pulp Topping 果肉,C010703,C010703,850G/CAN,12 CANS/CASE,10.0,100.0,0,0,24,1,1,1,0,12.0,products/C010703.png
Pulp Topping 果肉,C010803,C010803,850G/CAN,12 CANS/CASE,10.0,100.0,0,0,24,1,1,1,0,12.0,products/C010803.png
Pulp Topping 果肉,C010903,C010903,850G/CAN,12 CANS/CASE,10.0,100.0,0,0,24,1,1,1,0,12.0,products/C010903.png
PP700ml雪克杯,G010103,G010103,,,15.0,15.0,0,0,12,1,1,1,0,1.0,products/G010103.png
PP700ml雪克杯,G010203,G010203,,,20.0,20.0,0,0,12,1,1,1,0,1.0,products/G010203.png
Individually Wrap Straw 吸管,G010403,G010403,,,5.0,5.0,0,0,12,1,1,1,0,1.0,products/G010403.png
PP700ml雪克杯,G010503,G010503,,,20.0,20.0,0,0,12,1,1,1,0,1.0,products/G010503.png
Individually Wrap Straw 吸管,G010603,G010603,,,4.0,4.0,0,0,12,1,1,1,0,1.0,products/G010603.png
PP700ml雪克杯,G010703,G010703,,,3.0,3.0,0,0,12,1,1,1,0,1.0,products/G010703.png
Individually Wrap Straw 吸管,G010803,G010803,,,1.0,1.0,0,0,12,1,1,1,0,1.0,products/G010803.png
PP700ml雪克杯,G010903,G010903,,,3.0,3.0,0,0,12,1,1,1,0,1.0,products/G010903.png
Individually Wrap Straw 吸管,G011003,G011003,,,1.0,1.0,0,0,12,1,1,1,0,1.0,products/G011003.png
Individually Wrap Straw 吸管,G011103,G011103,,,20.0,20.0,0,0,12,1,1,1,0,1.0,products/G011103.png
PP700ml雪克杯,G011303,G011303,,,4.0,4.0,0,0,12,1,1,1,0,1.0,products/G011303.png
PP700ml雪克杯,G011403,G011403,,,20.0,20.0,0,0,12,1,1,1,0,1.0,products/G011403.png
Machinery 機器,H0103,H0103,,,1000.0,1000.0,0,0,12,1,1,1,0,1.0,products/H0103.png
Machinery 機器,Cane Sugar Syrup Dispenser Machine 蔗糖定量機,H0203,,,1000.0,1000.0,0,0,12,1,1,1,0,1.0,products/H0203.png
Machinery 機器,H0303,H0303,,,500.0,500.0,0,0,12,1,1,1,0,1.0,products/H0303.png
Machinery 機器,H0403,H0403,,,650.0,650.0,0,0,12,1,1,1,0,1.0,products/H0403.png
Machinery 機器,H0603,H0603,,,650.0,650.0,0,0,12,1,1,1,0,1.0,products/H0603.png
Machinery 機器,Machine 雪克奶泡機,H0803,,,500.0,500.0,0,0,12,1,1,1,0,1.0,products/H0803.png
Machinery 機器,HO703,HO703,,,675.0,675.0,0,0,12,1,1,1,0,1.0,products/HO703.png
Pulp Topping 果肉,J010103,J010103,6 LBS/BOTTLE,6 BOTTLES/CASE,15.0,75.0,0,0,24,1,1,1,0,6.0,products/J010103.png
Pulp Topping 果肉,Strawberry Jam 草莓醬,J010203,6LBS/BOTTLE,4 BOTTLES/CASE,15.0,75.0,0,0,24,1,1,1,0,4.0,products/J010203.png
Pulp Topping 果肉,J010303,J010303,6LBS/BOTTLE,6 BOTTLES/CASE,15.0,75.0,0,0,24,1,1,1,0,6.0,products/J010303.png
Pulp Topping 果肉,J010403,J010403,6LBS/BOTTLE,6 BOTTLES/CASE,15.0,75.0,0,0,24,1,1,1,0,6.0,products/J010403.png
Pure Powder 純粉,J010503,J010503,6LBS/BOTTLE,6 BOTTLES/CASE,15.0,75.0,0,0,24,1,1,1,0,6.0,products/J010503.png
Pure Powder 純粉,J010603,J010603,6 LBS/BOTTLE,6 BOTTLES/CASE,15.0,75.0,0,0,24,1,1,1,0,6.0,products/J010603.png
Pure Powder 純粉,Pink Peach Jam 粉桃果醬,J010703,6LBS/BOTTLE,6 BOTTLES/CASE,15.0,75.0,0,0,24,1,1,1,0,6.0,products/J010703.png
Pure Powder 純粉,J010803,J010803,6LBS/BOTTLE,6 BOTTLES/CASE,15.0,75.0,0,0,24,1,1,1,0,6.0,products/J010803.png
Pure Powder 純粉,J010903,J010903,6LBS/BOTTLE,6 BOTTLES/CASE,15.0,75.0,0,0,24,1,1,1,0,6.0,products/J010903.png
Machinery 機器,L010103,L010103,,,40.0,40.0,0,0,12,1,1,1,0,1.0,products/L010103.png
Machinery 機器,95 /90 PET 16 & 22oz Cold Cup Dome Lid 95/90 PET 冷飲杯凸蓋,L010203,,,45.0,50.0,0,0,12,1,1,1,0,1.0,products/L010203.png
Machinery 機器,L010603,L010603,,,50.0,50.0,0,0,12,1,1,1,0,1.0,products/L010603.png
Machinery 機器,L010703,L010703,,,55.0,55.0,0,0,12,1,1,1,0,1.0,products/L010703.png
Machinery 機器,L011103,L011103,,,55.0,55.0,0,0,12,1,1,1,0,1.0,products/L011103.png
