sku,name,category,price_single,price_case,unit,spec,image_url
T030103,Earl Grey Espresso Black Tea Bag 伯爵紅茶萃茶包,Espresso Tea Bag 萃茶包,15.0,130.0,8G/50 TEA BAGS,500 TEA BAGS/CASE,/media/products/T030103.png
T030203,T030203,默认分类,11.0,95.0,500G/BAG,10 BAGS/CASE,/media/products/T030203.png
T030403,T030403,Espresso Tea Bag 萃茶包,15.0,130.0,8G/50 TEA BAGS,500 TEA BAGS/CASE,/media/products/T030403.png
T030503,T030503,Filtered Tea Bag,15.0,130.0,500G/BAG,10 BAGS/CASE,/media/products/T030503.png
T030603,T030603,Espresso Tea Bag 萃茶包,15.0,130.0,8G/50 TEA BAGS,500 TEA BAGS/CASE,/media/products/T030603.png
T030703,T030703,Espresso Tea Bag 萃茶包,15.0,130.0,8G/50 TEA BAGS,500 TEA BAGS/CASE,/media/products/T030703.png
T030803,White Peach Espresso Four Seasons Springs Espresso Oolong Tea Bag 蜜桃青烏龍茶萃茶包,Filtered Tea Bag,15.0,130.0,500G/BAG,10 BAGS/CASE,/media/products/T030803.png
U010103,U010103,Machinery 機器,55.0,55.0,,,/media/products/U010103.png
U010203,U010203,Machinery 機器,85.0,85.0,,,/media/products/U010203.png
U010303,U010303,Machinery 機器,60.0,60.0,,,/media/products/U010303.png
U010403,U010403,Machinery 機器,75.0,75.0,,,/media/products/U010403.png
U010503,U010503,Machinery 機器,60.0,60.0,,,/media/products/U010503.png
U010703,U010703,Machinery 機器,55.0,55.0,,,/media/products/U010703.png
U010803,U010803,Machinery 機器,75.0,75.0,,,/media/products/U010803.png
U010903,U010903,Machinery 機器,60.0,60.0,,,/media/products/U010903.png
U011003,90mm 22oz Double Wall Paper Cup 中空厚纸杯 Shaker Machine,Machinery 機器,40.0,40.0,,,/media/products/U011003.png
U011203,U011203,Machinery 機器,75.0,75.0,,,/media/products/U011203.png
